,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC/Hypothalamus,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC/Hypothalamus
ctx-lh-bankssts,0.0,0.0,0.0,0.0,0.0,13241.891891891892,940.5405405405405,3516.2162162162163,0.0,59.45945945945946,0.0,1466.2162162162163,0.0,3308.108108108108,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7556.756756756757,1914.8648648648648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.1081081081081,4.054054054054054,0.0,0.0,0.0,1962.162162162162,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctx-lh-caudalanteriorcingulate,0.0,0.0,7947.2972972972975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.35135135135135,51.351351351351354,0.0,612.1621621621622,2018.918918918919,13617.567567567568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170.2702702702704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.2702702702702,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,29.72972972972973,0.0,0.0,222.97297297297297,0.0,0.0,0.0,6.756756756756757,0.0,0.0,0.0,0.0,32.432432432432435,0.0,0.0,9.45945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.83783783783784,4222.972972972973,662.1621621621622,97.29729729729729,0.0,0.0,12.162162162162161,0.0
ctx-lh-caudalmiddlefrontal,0.0,7947.2972972972975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7027027027027,0.0,0.0,0.0,644.5945945945946,0.0,35.13513513513514,0.0,0.0,1072.972972972973,5527.027027027027,0.0,1591.8918918918919,4148.648648648648,6790.540540540541,0.0,0.0,0.0,0.0,0.0,0.0,187.83783783783784,0.0,31.08108108108108,0.0,0.0,18.91891891891892,1.3513513513513513,0.0,29.72972972972973,0.0,0.0,1902.7027027027027,0.0,982.4324324324324,6.756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.6756756756756,0.0,0.0,0.0,10.81081081081081,0.0,0.0,174.32432432432432,0.0,328.3783783783784,0.0,2709.4594594594596,25904.054054054053,1574.3243243243244,448.64864864864865,0.0,0.0,231.0810810810811,689.1891891891892,0.0,2939.189189189189,18885.135135135137,3381.0810810810813,668.918918918919,0.0,1.3513513513513513,3344.5945945945946,298.64864864864865
ctx-lh-cuneus,0.0,0.0,0.0,0.0,0.0,0.0,725.6756756756756,0.0,0.0,2660.810810810811,0.0,767.5675675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6591.891891891892,0.0,0.0,0.0,2505.4054054054054,0.0,0.0,0.0,11750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.4054054054054,0.0,8.108108108108109,0.0,0.0,0.0,477.02702702702703,0.0,2956.7567567567567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.6756756756756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.1891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctx-lh-entorhinal,0.0,0.0,0.0,0.0,0.0,1474.3243243243244,0.0,120.27027027027027,0.0,0.0,0.0,0.0,0.0,259.4594594594595,137.83783783783784,0.0,1.3513513513513513,0.0,0.0,0.0,18.91891891891892,0.0,10.81081081081081,0.0,0.0,0.0,0.0,0.0,5995.945945945946,0.0,0.0,755.4054054054054,13.513513513513514,1029.7297297297298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.513513513513516,0.0,2987.837837837838,1463.5135135135135,0.0,41.891891891891895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctx-lh-fusiform,13241.891891891892,0.0,0.0,0.0,1474.3243243243244,0.0,6655.405405405405,13782.432432432432,0.0,18940.54054054054,0.0,2201.3513513513512,0.0,10382.432432432432,922.972972972973,0.0,0.0,0.0,0.0,31.08108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.513513513513516,11160.81081081081,994.5945945945946,0.0,441.8918918918919,0.0,25.675675675675677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37363.51351351351,0.0,0.0,0.0,0.0,1254.054054054054,54.054054054054056,0.0,0.0,279.72972972972974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctx-lh-inferiorparietal,940.5405405405405,0.0,0.0,725.6756756756756,0.0,6655.405405405405,0.0,458.1081081081081,10336.486486486487,9064.864864864865,0.0,24054.054054054053,0.0,787.8378378378378,233.78378378378378,0.0,0.0,0.0,0.0,8318.918918918918,0.0,0.0,0.0,19272.972972972973,0.0,0.0,0.0,11393.243243243243,29.72972972972973,7589.189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405405,0.0,9.45945945945946,0.0,0.0,443.2432432432432,0.0,0.0,64.86486486486487,0.0,0.0,67.56756756756756,0.0,0.0,0.0,0.0,10.81081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,4.054054054054054,0.0,0.0,0.0,1436.4864864864865,0.0,0.0,0.0,955.4054054054054,37.83783783783784,0.0,0.0,0.0,172.97297297297297,0.0,0.0,0.0
ctx-lh-inferiortemporal,3516.2162162162163,0.0,0.0,0.0,120.27027027027027,13782.432432432432,458.1081081081081,0.0,0.0,1009.4594594594595,0.0,28.37837837837838,0.0,36732.43243243243,45.945945945945944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.5675675675675,21.62162162162162,0.0,183.78378378378378,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13441.891891891892,0.0,0.0,0.0,0.0,16.216216216216218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctx-lh-isthmuscingulate,0.0,0.0,0.0,0.0,0.0,0.0,10336.486486486487,0.0,0.0,1.3513513513513513,0.0,279.72972972972974,0.0,0.0,63.513513513513516,260.81081081081084,0.0,0.0,0.0,0.0,341.8918918918919,2597.2972972972975,81.08108108108108,5989.189189189189,0.0,0.0,0.0,21310.81081081081,9.45945945945946,7897.2972972972975,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,409.4594594594595,0.0,286.4864864864865,3186.4864864864867,0.0,0.0,882.4324324324324,0.0,4.054054054054054,377.02702702702703,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,67.56756756756756,0.0,20.27027027027027,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,389.18918918918916,95.94594594594595,0.0,0.0,0.0,695.9459459459459,0.0,0.0,0.0,13498.648648648648,1008.1081081081081,1.3513513513513513,0.0,0.0,1631.081081081081,0.0,0.0,5.405405405405405
ctx-lh-lateraloccipital,59.45945945945946,0.0,0.0,2660.810810810811,0.0,18940.54054054054,9064.864864864865,1009.4594594594595,1.3513513513513513,0.0,0.0,12818.918918918918,0.0,664.8648648648649,0.0,0.0,0.0,0.0,0.0,12975.675675675675,0.0,0.0,0.0,27.027027027027028,0.0,0.0,0.0,1701.3513513513512,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0810810810811,0.0,0.0,0.0,0.0,0.0,351.35135135135135,0.0,282.43243243243245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.59459459459458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9613.513513513513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.3243243243244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
