Name,Short Name,x.mni,y.mni,z.mni,Hemisphere,Cortex,Other Name,Other Name 2,lobe,functional_system,index
ctx-lh-bankssts,   lBSTS ,-56,-44,5,Left,cortical,Bankssts_L,bankssts_lh,L temporal,auditory,1
ctx-lh-caudalanteriorcingulate,   lcACC ,-2,21,27,Left,cortical,Caudalanteriorcingulate_L,caudalanteriorcingulate_lh,L frontal,cingulo-opercular,2
ctx-lh-caudalmiddlefrontal,   lcMFG ,-45,18,46,Left,cortical,Caudalmiddlefrontal_L,caudalmiddlefrontal_lh,L frontal,fronto-parietal,3
ctx-lh-cuneus,    lCUN ,-1,-82,20,Left,cortical,Cuneus_L,cuneus_lh,L occipital,visual,4
ctx-lh-entorhinal,    lENT ,-16,-10,-29,Left,cortical,Entorhinal_L,entorhinal_lh,L temporal,visual,5
ctx-lh-fusiform,    lFUS ,-24,-54,-16,Left,cortical,Fusiform_L,fusiform_lh,L temporal,visual,6
ctx-lh-inferiorparietal,    lIPL ,-47,-70,31,Left,cortical,Inferiorparietal_L,inferiorparietal_lh,L parietal,fronto-parietal,7
ctx-lh-inferiortemporal,    lITG ,-56,-32,-24,Left,cortical,Inferiortemporal_L,inferiortemporal_lh,L temporal,visual,8
ctx-lh-isthmuscingulate,    liCC ,-1,-48,25,Left,cortical,Isthmuscingulate_L,isthmuscingulate_lh,L temporal,default mode,9
ctx-lh-lateraloccipital,    lLOG ,-43,-87,1,Left,cortical,Lateraloccipital_L,lateraloccipital_lh,L occipital,visual,10
ctx-lh-lateralorbitofrontal,    lLOF ,-35.98,30.71,-12.11,Left,cortical,Lateralorbitofrontal_L,lateralorbitofrontal_lh,L frontal,ventral attention,11
ctx-lh-lingual,   lLING ,-3,-73,-1,Left,cortical,Lingual_L,lingual_lh,L occipital,visual,12
ctx-lh-medialorbitofrontal,    lMOF ,-4,44,-14,Left,cortical,Medialorbitofrontal_L,medialorbitofrontal_lh,L frontal,fronto-parietal,13
ctx-lh-middletemporal,    lMTG ,-68,-29,-13,Left,cortical,Middletemporal_L,middletemporal_lh,L temporal,other,14
ctx-lh-parahippocampal,   lPARH ,-18,-30,-18,Left,cortical,Parahippocampal_L,parahippocampal_lh,L temporal,other,15
ctx-lh-paracentral,  lparaC ,-3,-28,62,Left,cortical,Paracentral_L,paracentral_lh,L parietal,motor and somatosensory,16
ctx-lh-parsopercularis,  lpOPER ,-57,22,18,Left,cortical,Parsopercularis_L,parsopercularis_lh,L frontal,cingulo-opercular,17
ctx-lh-parsorbitalis,   lpORB ,-44,48,-13,Left,cortical,Parsorbitalis_L,parsorbitalis_lh,L frontal,cingulo-opercular,18
ctx-lh-parstriangularis,   lpTRI ,-50,35,3,Left,cortical,Parstriangularis_L,parstriangularis_lh,L frontal,fronto-parietal,19
ctx-lh-pericalcarine,lperiCAL ,-12,-89,3,Left,cortical,Pericalcarine_L,pericalcarine_lh,L occipital,visual,20
ctx-lh-postcentral,  lpostC ,-50,-26,58,Left,cortical,Postcentral_L,postcentral_lh,L parietal,motor and somatosensory,21
ctx-lh-posteriorcingulate,    lPCC ,-1,-18,38,Left,cortical,Posteriorcingulate_L,posteriorcingulate_lh,L parietal,default mode,22
ctx-lh-precentral,   lpreC ,-44,-12,59,Left,cortical,Precentral_L,precentral_lh,L frontal,motor and somatosensory,23
ctx-lh-precuneus,   lPCUN ,-9,-59,46,Left,cortical,Precuneus_L,precuneus_lh,L parietal,default mode,24
ctx-lh-rostralanteriorcingulate,   lrACC ,-2,39,6,Left,cortical,Rostralanteriorcingulate_L,rostralanteriorcingulate_lh,L frontal,cingulo-opercular,25
ctx-lh-rostralmiddlefrontal,   lrMFG ,-34,53,17,Left,cortical,Rostralmiddlefrontal_L,rostralmiddlefrontal_lh,L frontal,cingulo-opercular,26
ctx-lh-superiorfrontal,    lSFG ,-21,38,50,Left,cortical,Superiorfrontal_L,superiorfrontal_lh,L frontal,default mode,27
ctx-lh-superiorparietal,    lSPL ,-25,-62,63,Left,cortical,Superiorparietal_L,superiorparietal_lh,L parietal,dorsal attention,28
ctx-lh-superiortemporal,    lSTG ,-63,-7,-1,Left,cortical,Superiortemporal_L,superiortemporal_lh,L temporal,auditory,29
ctx-lh-supramarginal,   lSMAR ,-60,-41,39,Left,cortical,Supramarginal_L,supramarginal_lh,L parietal,cingulo-opercular,30
ctx-lh-frontalpole,     lFP ,-9,65,-12,Left,cortical,Frontalpole_L,frontalpole_lh,L frontal,fronto-parietal,31
ctx-lh-temporalpole,     lTP ,-26,15,-35,Left,cortical,Temporalpole_L,temporalpole_lh,L temporal,other,32
ctx-lh-transversetemporal,     lTT ,-49,-23,9,Left,cortical,Transversetemporal_L,transversetemporal_lh,L temporal,auditory,33
ctx-lh-insula,    lINS ,-41,13,-6,Left,cortical,Insula_L,insula_lh,L temporal,fronto-parietal,34
ctx-rh-bankssts,   rBSTS ,50,-42,6,Right,cortical,Bankssts_R,bankssts_rh,R temporal,auditory,35
ctx-rh-caudalanteriorcingulate,   rcACC ,3,21,27,Right,cortical,Caudalanteriorcingulate_R,caudalanteriorcingulate_rh,R frontal,cingulo-opercular,36
ctx-rh-caudalmiddlefrontal,   rcMFG ,43,14,43,Right,cortical,Caudalmiddlefrontal_R,caudalmiddlefrontal_rh,R frontal,fronto-parietal,37
ctx-rh-cuneus,    rCUN ,3,-81,19,Right,cortical,Cuneus_R,cuneus_rh,R occipital,visual,38
ctx-rh-entorhinal,    rENT ,21,-4,-32,Right,cortical,Entorhinal_R,entorhinal_rh,R temporal,visual,39
